,id,company_name,update_day,year_change_percent
936,937,FAMI,2021,44.30379173805706
937,938,XYF,2018,nan
938,939,XYF,2019,-63.02222357855903
939,940,XYF,2020,-58.65384585993764
940,941,XYF,2021,-63.17829394682933
941,942,YQ,2020,nan
942,943,YQ,2021,25.799999237060547
943,944,SOL,2014,nan
944,945,SOL,2015,2.962960137261285
945,946,SOL,2016,14.388489603508862
946,947,SOL,2017,-59.11949587454876
947,948,SOL,2018,-18.46153552715595
948,949,SOL,2019,-56.22641792922045
949,950,SOL,2020,17.241383917124878
950,951,SOL,2021,694.1176527305457
951,952,IMAB,2020,nan
952,953,IMAB,2021,266.7755126953125
953,954,CEA,2014,nan
954,955,CEA,2015,-2.02730562503704
955,956,CEA,2016,9.923987969527529
956,957,CEA,2017,-12.562429394945504
957,958,CEA,2018,57.95255009408944
958,959,CEA,2019,-24.895690050070687
959,960,CEA,2020,3.5185213442201966
960,961,CEA,2021,-22.43291694674096
961,962,SDH,2021,nan
962,963,ANTE,2014,nan
963,964,ANTE,2015,0.4016079638624071
964,965,ANTE,2016,118.80000305175781
965,966,ANTE,2017,-55.57587038732846
966,967,ANTE,2018,-55.55555337523012
967,968,ANTE,2019,-76.85185226066285
968,969,ANTE,2020,-21.599998474121094
969,970,ANTE,2021,142.8571498081217
970,971,GRNQ,2018,nan
971,972,GRNQ,2019,-61.35593331295057
972,973,GRNQ,2020,-87.5
973,974,GRNQ,2021,168.42105098048074
974,975,FUTU,2019,nan
975,976,FUTU,2020,-28.93052183914139
976,977,FUTU,2021,350.6853466057356
977,978,MKD,2019,nan
978,979,MKD,2020,-4.09059486948801
979,980,MKD,2021,-81.08433715212863
980,981,DSACU,2020,nan
981,982,DSACU,2021,7.4338138349984115
982,983,LLIT,2014,nan
983,984,LLIT,2015,-4.81481896833457
984,985,LLIT,2016,-22.178986305403445
985,986,LLIT,2017,-25.999999046325684
986,987,LLIT,2018,16.891891674197794
987,988,LLIT,2019,-34.104047796171685
988,989,LLIT,2020,-69.29824575162661
989,990,LLIT,2021,46.42857051625542
990,991,PUYI,2019,nan
991,992,PUYI,2020,-19.83333428700765
992,993,PUYI,2021,24.74012622405141
993,994,SGOC,2014,nan
994,995,SGOC,2015,8.064517989739157
995,996,SGOC,2016,-49.25373207356992
