date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-10-18,2018-10-18,15.300000190734863,14.399999618530273,26.0,13.800000190734863,666630
2018-10-19,2018-10-19,15.199999809265137,20.0,21.100000381469727,14.0,211710
2018-10-22,2018-10-22,13.0,14.800000190734863,15.699999809265137,13.0,46410
2018-10-23,2018-10-23,13.800000190734863,13.5,15.0,12.899999618530273,64430
2018-10-24,2018-10-24,13.199999809265137,13.699999809265137,14.5,13.199999809265137,28500
2018-10-25,2018-10-25,12.699999809265137,13.100000381469727,13.199999809265137,12.600000381469727,17190
2018-10-26,2018-10-26,15.899999618530273,13.199999809265137,17.200000762939453,12.5,131160
2018-10-29,2018-10-29,16.0,19.0,20.0,14.0,236070
2018-10-30,2018-10-30,13.0,13.5,13.699999809265137,12.800000190734863,62160
2018-10-31,2018-10-31,12.800000190734863,13.199999809265137,13.199999809265137,12.199999809265137,30760
2018-11-01,2018-11-01,12.699999809265137,12.800000190734863,13.800000190734863,12.600000381469727,132560
2018-11-02,2018-11-02,13.0,13.199999809265137,13.199999809265137,12.300000190734863,93830
2018-11-05,2018-11-05,12.5,12.800000190734863,12.899999618530273,12.399999618530273,39060
2018-11-06,2018-11-06,12.600000381469727,12.399999618530273,12.899999618530273,12.199999809265137,43220
2018-11-07,2018-11-07,12.5,12.699999809265137,13.300000190734863,12.399999618530273,56480
2018-11-08,2018-11-08,12.5,12.800000190734863,12.800000190734863,12.100000381469727,29740
2018-11-09,2018-11-09,12.100000381469727,12.100000381469727,12.399999618530273,11.800000190734863,20780
2018-11-12,2018-11-12,11.5,12.199999809265137,12.5,11.5,21970
2018-11-13,2018-11-13,11.899999618530273,11.699999809265137,12.0,11.300000190734863,25380
2018-11-14,2018-11-14,11.699999809265137,11.300000190734863,12.100000381469727,11.300000190734863,24030
2018-11-15,2018-11-15,11.5,11.600000381469727,12.199999809265137,11.399999618530273,57480
2018-11-16,2018-11-16,11.300000190734863,11.600000381469727,11.699999809265137,10.5,89330
2018-11-19,2018-11-19,10.300000190734863,11.100000381469727,11.100000381469727,10.100000381469727,38970
2018-11-20,2018-11-20,10.300000190734863,10.300000190734863,11.100000381469727,10.0,33900
2018-11-21,2018-11-21,10.699999809265137,10.5,11.0,10.300000190734863,19070
2018-11-23,2018-11-23,10.899999618530273,10.899999618530273,10.899999618530273,10.5,8560
2018-11-26,2018-11-26,10.399999618530273,10.899999618530273,11.0,10.399999618530273,11100
2018-11-27,2018-11-27,10.399999618530273,10.800000190734863,10.800000190734863,10.199999809265137,7790
2018-11-28,2018-11-28,10.300000190734863,10.5,10.699999809265137,10.300000190734863,7510
2018-11-29,2018-11-29,10.899999618530273,10.399999618530273,11.199999809265137,10.300000190734863,30850
2018-11-30,2018-11-30,10.699999809265137,10.899999618530273,11.0,10.300000190734863,13000
2018-12-03,2018-12-03,10.699999809265137,11.600000381469727,11.600000381469727,10.600000381469727,20490
2018-12-04,2018-12-04,10.5,10.600000381469727,11.0,10.300000190734863,9390
2018-12-06,2018-12-06,10.399999618530273,10.600000381469727,10.800000190734863,10.300000190734863,8590
2018-12-07,2018-12-07,10.199999809265137,10.5,10.5,10.100000381469727,10000
2018-12-10,2018-12-10,10.0,10.199999809265137,10.399999618530273,10.0,13200
2018-12-11,2018-12-11,10.100000381469727,10.100000381469727,10.199999809265137,10.0,7160
2018-12-12,2018-12-12,10.100000381469727,10.0,10.5,10.0,8050
2018-12-13,2018-12-13,10.399999618530273,10.300000190734863,10.699999809265137,10.199999809265137,24840
2018-12-14,2018-12-14,10.0,10.399999618530273,10.399999618530273,10.0,8660
2018-12-17,2018-12-17,7.900000095367432,10.0,10.199999809265137,7.900000095367432,31220
2018-12-18,2018-12-18,8.300000190734863,8.0,8.399999618530273,8.0,9010
2018-12-19,2018-12-19,7.0,8.300000190734863,8.300000190734863,6.599999904632568,26560
2018-12-20,2018-12-20,6.599999904632568,7.300000190734863,7.300000190734863,6.599999904632568,12080
2018-12-21,2018-12-21,5.900000095367432,6.599999904632568,6.599999904632568,5.599999904632568,16750
2018-12-24,2018-12-24,6.400000095367432,6.099999904632568,6.900000095367432,6.0,5390
2018-12-26,2018-12-26,6.800000190734863,6.400000095367432,7.199999809265137,6.300000190734863,8230
2018-12-27,2018-12-27,6.900000095367432,7.0,7.300000190734863,6.800000190734863,4590
2018-12-28,2018-12-28,6.699999809265137,6.800000190734863,7.199999809265137,6.099999904632568,2810
2018-12-31,2018-12-31,7.400000095367432,6.699999809265137,10.0,6.099999904632568,267600
2019-01-02,2019-01-02,8.399999618530273,7.699999809265137,9.899999618530273,7.699999809265137,135570
2019-01-03,2019-01-03,7.099999904632568,8.399999618530273,8.399999618530273,6.900000095367432,34340
2019-01-04,2019-01-04,7.5,7.599999904632568,8.5,7.0,70130
2019-01-07,2019-01-07,8.300000190734863,8.300000190734863,8.5,7.800000190734863,31520
2019-01-08,2019-01-08,7.900000095367432,8.0,8.300000190734863,7.5,16580
2019-01-09,2019-01-09,8.899999618530273,8.0,9.399999618530273,7.699999809265137,85910
2019-01-10,2019-01-10,8.800000190734863,8.800000190734863,9.0,8.300000190734863,15970
2019-01-11,2019-01-11,8.800000190734863,8.899999618530273,9.5,8.600000381469727,11420
2019-01-14,2019-01-14,8.699999809265137,9.100000381469727,9.100000381469727,8.300000190734863,20620
2019-01-15,2019-01-15,9.5,8.5,9.600000381469727,8.399999618530273,102350
2019-01-16,2019-01-16,8.600000381469727,9.800000190734863,9.899999618530273,8.399999618530273,56940
2019-01-17,2019-01-17,8.899999618530273,8.5,9.399999618530273,8.399999618530273,36970
2019-01-18,2019-01-18,8.600000381469727,8.899999618530273,9.699999809265137,8.5,43190
2019-01-22,2019-01-22,8.0,8.699999809265137,8.899999618530273,7.400000095367432,39410
2019-01-23,2019-01-23,8.0,8.199999809265137,8.5,7.699999809265137,15020
2019-01-24,2019-01-24,8.300000190734863,8.399999618530273,8.800000190734863,8.0,29780
2019-01-25,2019-01-25,8.5,8.300000190734863,8.600000381469727,8.300000190734863,9450
2019-01-28,2019-01-28,9.100000381469727,8.800000190734863,9.899999618530273,8.5,83120
2019-01-29,2019-01-29,9.199999809265137,9.100000381469727,9.5,8.800000190734863,24130
2019-01-30,2019-01-30,12.0,9.5,12.5,9.399999618530273,403070
2019-01-31,2019-01-31,11.5,12.399999618530273,13.0,11.0,189260
2019-02-01,2019-02-01,11.300000190734863,11.600000381469727,11.699999809265137,11.0,57730
2019-02-04,2019-02-04,11.5,11.199999809265137,11.600000381469727,11.0,25610
2019-02-05,2019-02-05,10.899999618530273,11.600000381469727,11.600000381469727,10.300000190734863,55010
2019-02-06,2019-02-06,10.600000381469727,11.399999618530273,11.399999618530273,10.600000381469727,13420
2019-02-07,2019-02-07,10.800000190734863,10.800000190734863,11.0,10.5,16370
2019-02-08,2019-02-08,10.300000190734863,10.600000381469727,10.699999809265137,10.0,18970
2019-02-11,2019-02-11,9.699999809265137,10.300000190734863,10.5,9.300000190734863,28480
2019-02-12,2019-02-12,10.300000190734863,9.899999618530273,10.300000190734863,9.399999618530273,38400
2019-02-13,2019-02-13,10.0,10.399999618530273,10.699999809265137,10.0,17110
2019-02-14,2019-02-14,9.899999618530273,10.100000381469727,10.199999809265137,9.5,19780
2019-02-15,2019-02-15,9.899999618530273,10.199999809265137,10.199999809265137,9.600000381469727,21970
2019-02-19,2019-02-19,10.100000381469727,10.0,10.300000190734863,9.699999809265137,22920
2019-02-20,2019-02-20,10.300000190734863,10.199999809265137,10.399999618530273,9.899999618530273,46690
2019-02-21,2019-02-21,11.0,11.800000190734863,12.199999809265137,10.300000190734863,156300
2019-02-22,2019-02-22,10.399999618530273,10.899999618530273,10.899999618530273,10.0,36310
2019-02-25,2019-02-25,14.199999809265137,10.5,14.699999809265137,10.5,521220
2019-02-26,2019-02-26,11.0,12.800000190734863,14.100000381469727,11.0,171680
2019-02-27,2019-02-27,11.100000381469727,11.100000381469727,11.100000381469727,10.5,47110
2019-02-28,2019-02-28,10.300000190734863,11.199999809265137,11.199999809265137,8.800000190734863,74850
2019-03-01,2019-03-01,10.100000381469727,10.5,10.5,9.899999618530273,43570
2019-03-04,2019-03-04,10.899999618530273,11.0,11.800000190734863,10.600000381469727,249590
2019-03-05,2019-03-05,10.5,10.699999809265137,12.100000381469727,10.399999618530273,224940
2019-03-06,2019-03-06,10.699999809265137,10.600000381469727,11.199999809265137,10.199999809265137,48130
2019-03-07,2019-03-07,10.199999809265137,10.699999809265137,10.699999809265137,10.0,52450
2019-03-08,2019-03-08,9.899999618530273,9.899999618530273,10.300000190734863,9.100000381469727,40520
2019-03-11,2019-03-11,9.5,10.100000381469727,10.300000190734863,9.300000190734863,33300
2019-03-12,2019-03-12,9.800000190734863,9.800000190734863,10.100000381469727,9.300000190734863,17030
2019-03-13,2019-03-13,9.5,9.800000190734863,10.0,9.399999618530273,21590
2019-03-14,2019-03-14,9.300000190734863,9.5,9.699999809265137,9.199999809265137,21840
2019-03-15,2019-03-15,9.600000381469727,9.399999618530273,9.800000190734863,9.0,26890
2019-03-18,2019-03-18,9.5,9.300000190734863,9.800000190734863,9.300000190734863,18530
2019-03-19,2019-03-19,9.699999809265137,9.5,9.899999618530273,9.300000190734863,45860
2019-03-20,2019-03-20,9.899999618530273,10.0,10.399999618530273,9.5,102680
2019-03-21,2019-03-21,9.699999809265137,10.100000381469727,10.199999809265137,9.600000381469727,44890
2019-03-22,2019-03-22,9.800000190734863,9.699999809265137,9.899999618530273,9.600000381469727,24690
2019-03-25,2019-03-25,9.5,9.800000190734863,9.800000190734863,9.300000190734863,13190
2019-03-26,2019-03-26,9.899999618530273,9.5,10.300000190734863,9.399999618530273,20780
2019-03-27,2019-03-27,9.800000190734863,9.899999618530273,9.899999618530273,9.600000381469727,12610
2019-03-28,2019-03-28,10.0,10.5,11.800000190734863,9.899999618530273,445310
2019-03-29,2019-03-29,9.699999809265137,10.0,10.199999809265137,9.600000381469727,40570
2019-04-01,2019-04-01,10.0,10.199999809265137,10.199999809265137,9.800000190734863,20870
2019-04-02,2019-04-02,10.0,10.100000381469727,10.399999618530273,9.800000190734863,37730
2019-04-03,2019-04-03,10.0,10.0,10.399999618530273,9.800000190734863,18950
2019-04-04,2019-04-04,10.300000190734863,10.199999809265137,10.800000190734863,9.899999618530273,64310
2019-04-05,2019-04-05,10.5,10.800000190734863,11.100000381469727,10.300000190734863,65630
2019-04-08,2019-04-08,11.0,11.0,11.300000190734863,10.600000381469727,57690
2019-04-09,2019-04-09,10.5,11.0,11.0,10.100000381469727,36760
2019-04-10,2019-04-10,11.100000381469727,10.399999618530273,11.5,10.300000190734863,50050
2019-04-11,2019-04-11,10.5,11.300000190734863,11.399999618530273,10.399999618530273,47920
2019-04-12,2019-04-12,9.399999618530273,10.800000190734863,10.800000190734863,9.199999809265137,113240
2019-04-15,2019-04-15,7.0,7.900000095367432,7.900000095367432,6.400000095367432,283610
2019-04-16,2019-04-16,6.599999904632568,6.699999809265137,7.0,6.400000095367432,79340
2019-04-17,2019-04-17,6.400000095367432,6.699999809265137,6.800000190734863,6.099999904632568,45180
2019-04-18,2019-04-18,6.599999904632568,6.5,6.699999809265137,6.300000190734863,43190
2019-04-22,2019-04-22,7.0,6.599999904632568,7.199999809265137,6.400000095367432,153880
2019-04-23,2019-04-23,6.699999809265137,7.099999904632568,7.199999809265137,6.599999904632568,70170
2019-04-24,2019-04-24,6.900000095367432,6.699999809265137,7.0,6.699999809265137,54030
2019-04-25,2019-04-25,6.5,6.900000095367432,6.900000095367432,6.300000190734863,59970
2019-04-26,2019-04-26,6.300000190734863,6.300000190734863,6.5,6.0,34500
2019-04-29,2019-04-29,6.800000190734863,6.5,6.800000190734863,6.300000190734863,22710
2019-04-30,2019-04-30,6.599999904632568,6.599999904632568,6.900000095367432,6.400000095367432,28390
2019-05-01,2019-05-01,6.599999904632568,6.5,6.800000190734863,6.400000095367432,17810
2019-05-02,2019-05-02,6.400000095367432,6.699999809265137,6.800000190734863,6.300000190734863,22580
2019-05-03,2019-05-03,6.400000095367432,6.599999904632568,6.699999809265137,6.300000190734863,17080
2019-05-06,2019-05-06,6.300000190734863,6.300000190734863,6.400000095367432,6.0,23850
2019-05-07,2019-05-07,6.300000190734863,6.400000095367432,6.599999904632568,6.099999904632568,12410
2019-05-08,2019-05-08,6.0,6.400000095367432,6.5,5.900000095367432,20460
2019-05-09,2019-05-09,5.800000190734863,6.099999904632568,6.099999904632568,5.599999904632568,29700
2019-05-10,2019-05-10,5.900000095367432,5.599999904632568,6.0,5.599999904632568,11680
2019-05-13,2019-05-13,5.699999809265137,5.900000095367432,5.900000095367432,5.5,13450
2019-05-14,2019-05-14,5.300000190734863,5.800000190734863,5.800000190734863,5.099999904632568,20950
2019-05-15,2019-05-15,5.300000190734863,5.400000095367432,5.400000095367432,5.099999904632568,10700
2019-05-16,2019-05-16,5.400000095367432,5.300000190734863,5.599999904632568,5.199999809265137,10500
2019-05-17,2019-05-17,5.199999809265137,5.5,5.5,5.099999904632568,14820
2019-05-20,2019-05-20,5.099999904632568,5.199999809265137,5.199999809265137,5.0,11950
2019-05-21,2019-05-21,5.0,5.0,5.199999809265137,5.0,9050
2019-05-22,2019-05-22,5.099999904632568,5.0,5.400000095367432,5.0,8580
2019-05-23,2019-05-23,4.800000190734863,5.0,5.300000190734863,4.699999809265137,12350
2019-05-24,2019-05-24,4.800000190734863,4.800000190734863,5.099999904632568,4.699999809265137,11780
2019-05-28,2019-05-28,4.800000190734863,5.099999904632568,5.300000190734863,4.599999904632568,7810
2019-05-29,2019-05-29,4.699999809265137,4.900000095367432,5.0,4.599999904632568,9320
2019-05-30,2019-05-30,4.0,4.199999809265137,4.5,3.799999952316284,54550
2019-05-31,2019-05-31,3.9000000953674316,4.0,4.0,3.4000000953674316,26130
2019-06-03,2019-06-03,3.9000000953674316,4.0,4.0,3.4000000953674316,13730
2019-06-04,2019-06-04,3.799999952316284,3.799999952316284,4.099999904632568,3.5,15050
2019-06-05,2019-06-05,4.099999904632568,4.0,4.199999809265137,3.799999952316284,25420
2019-06-06,2019-06-06,4.0,4.0,4.099999904632568,3.700000047683716,10640
2019-06-07,2019-06-07,4.099999904632568,4.0,4.300000190734863,4.0,43880
2019-06-10,2019-06-10,4.099999904632568,4.099999904632568,4.199999809265137,3.9000000953674316,13480
