date,date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-05-28,2019-05-28,4.329999923706055,4.159999847412109,4.590000152587891,4.159999847412109,16400.0
2019-05-29,2019-05-29,4.25,4.28000020980835,4.429999828338623,4.199999809265137,20200.0
2019-05-30,2019-05-30,4.550000190734863,4.320000171661377,4.550000190734863,4.320000171661377,7500.0
2019-05-31,2019-05-31,4.110000133514404,4.53000020980835,4.53000020980835,4.110000133514404,19700.0
2019-06-03,2019-06-03,4.150000095367432,4.179999828338623,4.300000190734863,4.150000095367432,16000.0
2019-06-04,2019-06-04,4.190000057220459,4.179999828338623,4.400000095367432,4.179999828338623,6200.0
2019-06-05,2019-06-05,4.190000057220459,4.159999847412109,4.25,4.150000095367432,1400.0
2019-06-06,2019-06-06,4.179999828338623,4.630000114440918,4.630000114440918,4.159999847412109,13400.0
2019-06-07,2019-06-07,4.179999828338623,4.170000076293945,4.329999923706055,4.150000095367432,5000.0
2019-06-10,2019-06-10,4.230000019073486,4.170000076293945,4.599999904632568,4.090000152587891,21900.0
2019-06-11,2019-06-11,4.099999904632568,4.210000038146973,4.349999904632568,4.099999904632568,1900.0
2019-06-12,2019-06-12,4.300000190734863,4.099999904632568,4.420000076293945,4.099999904632568,13300.0
2019-06-13,2019-06-13,4.460000038146973,4.78000020980835,4.78000020980835,4.190000057220459,9800.0
2019-06-14,2019-06-14,4.389999866485596,4.260000228881836,4.539999961853027,4.260000228881836,14200.0
2019-06-17,2019-06-17,4.460000038146973,4.420000076293945,4.599999904632568,4.420000076293945,3500.0
2019-06-18,2019-06-18,4.699999809265137,4.590000152587891,4.849999904632568,4.420000076293945,26300.0
2019-06-19,2019-06-19,4.28000020980835,4.659999847412109,5.050000190734863,4.28000020980835,30600.0
2019-06-20,2019-06-20,4.539999961853027,4.889999866485596,5.039999961853027,4.489999771118164,16200.0
2019-06-21,2019-06-21,4.579999923706055,4.710000038146973,4.710000038146973,4.570000171661377,2500.0
2019-06-24,2019-06-24,4.570000171661377,4.599999904632568,4.789999961853027,4.570000171661377,11300.0
2019-06-25,2019-06-25,4.699999809265137,4.519999980926514,4.710000038146973,4.5,2700.0
2019-06-26,2019-06-26,4.539999961853027,4.820000171661377,4.820000171661377,4.5,8200.0
2019-06-27,2019-06-27,4.71999979019165,4.840000152587891,4.840000152587891,4.659999847412109,9600.0
2019-06-28,2019-06-28,4.679999828338623,4.96999979019165,4.96999979019165,4.619999885559082,2600.0
2019-07-01,2019-07-01,4.800000190734863,4.690000057220459,4.800000190734863,4.510000228881836,3600.0
2019-07-02,2019-07-02,4.730000019073486,4.699999809265137,4.730000019073486,4.449999809265137,11200.0
2019-07-03,2019-07-03,4.769999980926514,5.050000190734863,5.050000190734863,4.599999904632568,5600.0
2019-07-05,2019-07-05,4.900000095367432,4.789999961853027,4.900000095367432,4.789999961853027,2600.0
2019-07-08,2019-07-08,4.940000057220459,4.909999847412109,5.0,4.78000020980835,3300.0
2019-07-09,2019-07-09,4.800000190734863,5.0,5.0,4.769999980926514,1400.0
2019-07-10,2019-07-10,4.519999980926514,4.829999923706055,4.849999904632568,4.519999980926514,5000.0
2019-07-11,2019-07-11,4.329999923706055,4.510000228881836,4.53000020980835,4.300000190734863,4600.0
2019-07-12,2019-07-12,4.630000114440918,4.630000114440918,4.630000114440918,4.630000114440918,100.0
2019-07-15,2019-07-15,4.630000114440918,4.630000114440918,4.630000114440918,4.630000114440918,0.0
2019-07-16,2019-07-16,4.619999885559082,4.400000095367432,4.630000114440918,4.400000095367432,2200.0
2019-07-17,2019-07-17,4.369999885559082,4.420000076293945,4.519999980926514,4.260000228881836,4000.0
2019-07-18,2019-07-18,4.369999885559082,4.369999885559082,4.449999809265137,4.369999885559082,1000.0
2019-07-19,2019-07-19,4.320000171661377,4.309999942779541,4.599999904632568,4.309999942779541,2500.0
2019-07-22,2019-07-22,4.380000114440918,4.269999980926514,4.380000114440918,4.269999980926514,700.0
2019-07-23,2019-07-23,4.300000190734863,4.349999904632568,4.349999904632568,4.300000190734863,1300.0
2019-07-24,2019-07-24,4.260000228881836,4.28000020980835,4.28000020980835,4.230000019073486,9800.0
2019-07-25,2019-07-25,4.25,4.25,4.25,4.25,400.0
2019-07-26,2019-07-26,4.21999979019165,4.230000019073486,4.5,4.21999979019165,1800.0
2019-07-29,2019-07-29,4.340000152587891,4.21999979019165,4.420000076293945,4.139999866485596,1900.0
2019-07-30,2019-07-30,4.340000152587891,4.21999979019165,4.420000076293945,4.139999866485596,100.0
2019-07-31,2019-07-31,4.179999828338623,4.489999771118164,4.489999771118164,4.179999828338623,1400.0
2019-08-01,2019-08-01,4.059999942779541,4.199999809265137,4.199999809265137,4.050000190734863,13600.0
2019-08-02,2019-08-02,4.059999942779541,4.03000020980835,4.059999942779541,4.010000228881836,6300.0
2019-08-05,2019-08-05,3.8299999237060547,3.9700000286102295,4.0,3.759999990463257,20100.0
2019-08-06,2019-08-06,3.450000047683716,3.7799999713897705,3.7799999713897705,3.450000047683716,18400.0
2019-08-07,2019-08-07,3.299999952316284,3.509999990463257,3.509999990463257,3.2699999809265137,8100.0
2019-08-08,2019-08-08,3.299999952316284,3.509999990463257,3.509999990463257,3.2699999809265137,100.0
2019-08-09,2019-08-09,3.3499999046325684,3.440000057220459,3.4800000190734863,3.25,8800.0
2019-08-12,2019-08-12,3.2100000381469727,3.299999952316284,3.319999933242798,3.1500000953674316,4200.0
2019-08-13,2019-08-13,3.200000047683716,3.25,3.3399999141693115,2.8399999141693115,24500.0
2019-08-14,2019-08-14,2.930000066757202,2.930000066757202,2.950000047683716,2.9000000953674316,9600.0
2019-08-15,2019-08-15,2.869999885559082,2.9000000953674316,3.0399999618530273,2.8499999046325684,13300.0
2019-08-16,2019-08-16,3.049999952316284,2.859999895095825,3.059999942779541,2.8499999046325684,10300.0
2019-08-19,2019-08-19,3.0,3.0399999618530273,3.0799999237060547,2.9700000286102295,12600.0
2019-08-20,2019-08-20,2.8499999046325684,2.9700000286102295,2.9700000286102295,2.799999952316284,16500.0
2019-08-21,2019-08-21,3.200000047683716,2.859999895095825,3.450000047683716,2.8499999046325684,66200.0
2019-08-22,2019-08-22,3.25,3.2300000190734863,3.369999885559082,3.200000047683716,4000.0
2019-08-23,2019-08-23,3.0,3.309999942779541,3.430000066757202,2.9600000381469727,11000.0
2019-08-26,2019-08-26,3.2300000190734863,3.0,3.3499999046325684,2.8299999237060547,10500.0
2019-08-27,2019-08-27,3.0899999141693115,3.299999952316284,3.299999952316284,3.0,19400.0
2019-08-28,2019-08-28,3.380000114440918,3.1500000953674316,3.5399999618530273,3.1500000953674316,37300.0
2019-08-29,2019-08-29,3.240000009536743,3.4800000190734863,3.4800000190734863,3.190000057220459,5700.0
2019-08-30,2019-08-30,3.359999895095825,3.299999952316284,3.490000009536743,3.299999952316284,20800.0
2019-09-03,2019-09-03,3.3299999237060547,3.359999895095825,3.4800000190734863,3.1500000953674316,11100.0
2019-09-04,2019-09-04,3.2100000381469727,3.4800000190734863,3.4800000190734863,3.2100000381469727,9200.0
2019-09-05,2019-09-05,3.109999895095825,3.240000009536743,3.240000009536743,3.109999895095825,16300.0
2019-09-06,2019-09-06,3.1600000858306885,3.1500000953674316,3.180000066757202,3.1500000953674316,6200.0
2019-09-09,2019-09-09,3.299999952316284,3.190000057220459,3.390000104904175,3.190000057220459,5700.0
2019-09-10,2019-09-10,3.4100000858306885,3.3299999237060547,3.5399999618530273,3.3299999237060547,6700.0
2019-09-11,2019-09-11,3.4100000858306885,3.430000066757202,3.4600000381469727,3.25,3700.0
2019-09-12,2019-09-12,3.440000057220459,3.5,3.5,3.4100000858306885,800.0
2019-09-13,2019-09-13,3.440000057220459,3.440000057220459,3.440000057220459,3.440000057220459,0.0
2019-09-16,2019-09-16,3.5899999141693115,3.4800000190734863,3.619999885559082,3.390000104904175,4200.0
2019-09-17,2019-09-17,3.680000066757202,3.630000114440918,3.700000047683716,3.630000114440918,2400.0
2019-09-18,2019-09-18,3.490000009536743,3.4600000381469727,3.5899999141693115,3.4200000762939453,2800.0
2019-09-19,2019-09-19,3.5999999046325684,3.6500000953674316,3.700000047683716,3.509999990463257,17400.0
2019-09-20,2019-09-20,3.4700000286102295,3.4700000286102295,3.559999942779541,3.4700000286102295,10000.0
2019-09-23,2019-09-23,3.4000000953674316,3.4100000858306885,3.430000066757202,3.4000000953674316,2200.0
2019-09-24,2019-09-24,3.450000047683716,3.5,3.5,3.450000047683716,1600.0
2019-09-25,2019-09-25,3.299999952316284,3.509999990463257,3.509999990463257,3.2799999713897705,1200.0
2019-09-26,2019-09-26,3.25,3.200000047683716,3.25,3.200000047683716,3800.0
2019-09-27,2019-09-27,3.25,3.2200000286102295,3.4100000858306885,3.200000047683716,8600.0
2019-09-30,2019-09-30,3.390000104904175,3.319999933242798,3.4000000953674316,3.299999952316284,3600.0
2019-10-01,2019-10-01,3.440000057220459,3.3399999141693115,3.549999952316284,3.3399999141693115,5800.0
2019-10-02,2019-10-02,3.309999942779541,3.559999942779541,3.559999942779541,3.309999942779541,12000.0
2019-10-03,2019-10-03,3.4000000953674316,3.4000000953674316,3.4000000953674316,3.4000000953674316,1400.0
2019-10-04,2019-10-04,3.259999990463257,3.4600000381469727,3.4600000381469727,3.259999990463257,400.0
2019-10-07,2019-10-07,3.559999942779541,3.569999933242798,3.569999933242798,3.5,10800.0
2019-10-08,2019-10-08,3.609999895095825,3.5399999618530273,3.609999895095825,3.5299999713897705,1200.0
2019-10-09,2019-10-09,3.700000047683716,3.700000047683716,3.7100000381469727,3.6500000953674316,5200.0
2019-10-10,2019-10-10,3.4800000190734863,3.690000057220459,3.700000047683716,3.4800000190734863,2100.0
2019-10-11,2019-10-11,3.740000009536743,3.630000114440918,3.75,3.619999885559082,4500.0
2019-10-14,2019-10-14,3.799999952316284,3.690000057220459,3.950000047683716,3.690000057220459,38400.0
2019-10-15,2019-10-15,3.990000009536743,3.7699999809265137,4.199999809265137,3.7699999809265137,36500.0
2019-10-16,2019-10-16,4.110000133514404,4.079999923706055,4.309999942779541,4.079999923706055,18100.0
2019-10-17,2019-10-17,4.199999809265137,4.139999866485596,4.449999809265137,4.119999885559082,10600.0
2019-10-18,2019-10-18,4.21999979019165,4.079999923706055,4.21999979019165,4.079999923706055,300.0
2019-10-21,2019-10-21,4.369999885559082,4.320000171661377,4.400000095367432,4.320000171661377,1200.0
2019-10-22,2019-10-22,5.090000152587891,4.400000095367432,5.090000152587891,4.119999885559082,71500.0
2019-10-23,2019-10-23,5.199999809265137,5.340000152587891,5.340000152587891,5.099999904632568,21300.0
2019-10-24,2019-10-24,5.099999904632568,5.099999904632568,5.099999904632568,4.809999942779541,13300.0
2019-10-25,2019-10-25,4.949999809265137,4.929999828338623,4.949999809265137,4.519999980926514,26800.0
2019-10-28,2019-10-28,4.860000133514404,4.78000020980835,4.949999809265137,4.78000020980835,4900.0
2019-10-29,2019-10-29,4.739999771118164,4.710000038146973,4.739999771118164,4.710000038146973,1700.0
2019-10-30,2019-10-30,5.349999904632568,4.840000152587891,5.349999904632568,4.730000019073486,15700.0
2019-10-31,2019-10-31,4.800000190734863,5.349999904632568,5.349999904632568,4.800000190734863,11800.0
2019-11-01,2019-11-01,4.550000190734863,4.789999961853027,4.889999866485596,4.550000190734863,8200.0
2019-11-04,2019-11-04,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,0.0
2019-11-05,2019-11-05,4.010000228881836,4.300000190734863,4.329999923706055,4.010000228881836,33400.0
2019-11-06,2019-11-06,3.9000000953674316,4.010000228881836,4.010000228881836,3.8499999046325684,12500.0
2019-11-07,2019-11-07,3.7100000381469727,3.8399999141693115,3.8399999141693115,3.700000047683716,10300.0
2019-11-08,2019-11-08,3.7100000381469727,3.7100000381469727,3.7100000381469727,3.7100000381469727,0.0
2019-11-11,2019-11-11,3.5799999237060547,3.5299999713897705,3.5799999237060547,3.509999990463257,2000.0
2019-11-12,2019-11-12,3.450000047683716,3.4200000762939453,3.6500000953674316,3.4200000762939453,57500.0
2019-11-13,2019-11-13,3.1500000953674316,3.5999999046325684,3.5999999046325684,3.1500000953674316,31500.0
2019-11-14,2019-11-14,3.190000057220459,3.109999895095825,3.190000057220459,3.0999999046325684,9900.0
2019-11-15,2019-11-15,3.3399999141693115,3.390000104904175,3.430000066757202,3.240000009536743,3600.0
2019-11-18,2019-11-18,3.3399999141693115,3.3399999141693115,3.3399999141693115,3.3399999141693115,0.0
2019-11-25,2019-11-25,2.690000057220459,2.9700000286102295,3.0299999713897705,2.5999999046325684,9600.0
2019-11-26,2019-11-26,2.75,2.549999952316284,2.880000114440918,2.549999952316284,4900.0
2019-11-27,2019-11-27,2.7100000381469727,2.880000114440918,2.890000104904175,2.700000047683716,8400.0
2019-11-29,2019-11-29,2.9600000381469727,2.890000104904175,2.9600000381469727,2.7699999809265137,9400.0
2019-12-02,2019-12-02,3.2200000286102295,3.0299999713897705,3.2200000286102295,3.0199999809265137,18700.0
2019-12-03,2019-12-03,3.140000104904175,3.180000066757202,3.190000057220459,3.0199999809265137,2100.0
2019-12-04,2019-12-04,2.9700000286102295,2.940000057220459,2.990000009536743,2.9000000953674316,6100.0
2019-12-05,2019-12-05,2.8499999046325684,2.9100000858306885,2.9100000858306885,2.8499999046325684,400.0
2019-12-06,2019-12-06,2.700000047683716,2.869999885559082,2.869999885559082,2.609999895095825,22300.0
2019-12-09,2019-12-09,2.6600000858306885,2.6600000858306885,2.680000066757202,2.6500000953674316,1600.0
2019-12-10,2019-12-10,2.700000047683716,2.6700000762939453,2.700000047683716,2.6700000762939453,700.0
2019-12-11,2019-12-11,2.799999952316284,2.740000009536743,2.9000000953674316,2.740000009536743,5700.0
2019-12-12,2019-12-12,2.869999885559082,2.880000114440918,3.0,2.799999952316284,19200.0
2019-12-13,2019-12-13,2.9800000190734863,2.9100000858306885,3.0199999809265137,2.8299999237060547,4900.0
2019-12-16,2019-12-16,2.809999942779541,2.75,2.809999942779541,2.75,6700.0
2019-12-17,2019-12-17,2.930000066757202,2.7200000286102295,2.990000009536743,2.7200000286102295,3100.0
2019-12-18,2019-12-18,2.9600000381469727,3.0399999618530273,3.0399999618530273,2.9600000381469727,2200.0
2019-12-19,2019-12-19,2.799999952316284,2.930000066757202,2.930000066757202,2.799999952316284,1600.0
2019-12-20,2019-12-20,2.8499999046325684,2.8499999046325684,2.8499999046325684,2.8499999046325684,1500.0
2019-12-23,2019-12-23,2.8499999046325684,2.8499999046325684,2.8499999046325684,2.8499999046325684,0.0
2019-12-24,2019-12-24,2.859999895095825,2.799999952316284,2.859999895095825,2.799999952316284,800.0
2019-12-26,2019-12-26,2.7200000286102295,2.9100000858306885,2.9100000858306885,2.5999999046325684,12700.0
2019-12-27,2019-12-27,2.809999942779541,2.809999942779541,2.809999942779541,2.809999942779541,300.0
2019-12-30,2019-12-30,2.8499999046325684,2.809999942779541,2.8499999046325684,2.7100000381469727,3200.0
2019-12-31,2019-12-31,2.740000009536743,2.740000009536743,2.7799999713897705,2.700000047683716,7100.0
2020-01-02,2020-01-02,2.5999999046325684,2.7200000286102295,2.7200000286102295,2.5,20900.0
2020-01-03,2020-01-03,2.390000104904175,2.509999990463257,2.509999990463257,2.25,18400.0
2020-01-06,2020-01-06,2.5,2.6500000953674316,2.6500000953674316,2.390000104904175,3800.0
2020-01-07,2020-01-07,2.509999990463257,2.380000114440918,2.5199999809265137,2.380000114440918,3400.0
2020-01-08,2020-01-08,2.490000009536743,2.4000000953674316,2.490000009536743,2.380000114440918,1500.0
2020-01-09,2020-01-09,2.759999990463257,2.490000009536743,2.799999952316284,2.4700000286102295,17600.0
2020-01-10,2020-01-10,2.6600000858306885,2.7899999618530273,2.799999952316284,2.5999999046325684,7400.0
2020-01-13,2020-01-13,2.569999933242798,2.6600000858306885,2.6600000858306885,2.4000000953674316,28000.0
2020-01-14,2020-01-14,2.490000009536743,2.490000009536743,2.6500000953674316,2.4600000381469727,75300.0
2020-01-15,2020-01-15,2.5799999237060547,2.5899999141693115,2.680000066757202,2.490000009536743,23900.0
2020-01-16,2020-01-16,2.4600000381469727,2.5,2.5399999618530273,2.450000047683716,17700.0
2020-01-17,2020-01-17,2.440000057220459,2.630000114440918,2.630000114440918,2.4000000953674316,8500.0
2020-01-21,2020-01-21,2.299999952316284,2.5,2.5,2.299999952316284,29000.0
2020-01-22,2020-01-22,2.4000000953674316,2.359999895095825,2.4700000286102295,2.299999952316284,27700.0
2020-01-23,2020-01-23,2.7699999809265137,2.4100000858306885,3.0,2.369999885559082,259800.0
2020-01-24,2020-01-24,2.7300000190734863,2.9000000953674316,2.9100000858306885,2.5999999046325684,21000.0
2020-01-27,2020-01-27,2.7100000381469727,2.5899999141693115,3.1600000858306885,2.450000047683716,52700.0
2020-01-28,2020-01-28,2.7699999809265137,2.630000114440918,2.7699999809265137,2.5899999141693115,21900.0
2020-01-29,2020-01-29,2.5,2.609999895095825,2.6600000858306885,2.5,33600.0
2020-01-30,2020-01-30,2.559999942779541,2.5799999237060547,2.5799999237060547,2.3399999141693115,5100.0
2020-01-31,2020-01-31,2.299999952316284,2.4000000953674316,2.5199999809265137,2.299999952316284,8800.0
2020-02-03,2020-02-03,2.0399999618530273,2.2100000381469727,2.309999942779541,2.0399999618530273,60900.0
2020-02-04,2020-02-04,2.130000114440918,2.1600000858306885,2.299999952316284,2.0,90800.0
2020-02-05,2020-02-05,2.0799999237060547,2.200000047683716,2.2100000381469727,2.0299999713897705,21900.0
2020-02-06,2020-02-06,2.1600000858306885,2.119999885559082,2.200000047683716,2.009999990463257,15000.0
2020-02-07,2020-02-07,2.0199999809265137,2.1500000953674316,2.440000057220459,1.9199999570846558,140500.0
2020-02-10,2020-02-10,2.259999990463257,2.3499999046325684,3.5,2.0399999618530273,2040700.0
2020-02-11,2020-02-11,2.240000009536743,2.049999952316284,2.2899999618530273,2.049999952316284,46700.0
2020-02-12,2020-02-12,2.069999933242798,2.1600000858306885,2.2200000286102295,2.059999942779541,38900.0
2020-02-13,2020-02-13,2.069999933242798,1.9199999570846558,2.140000104904175,1.9199999570846558,21600.0
2020-02-14,2020-02-14,2.049999952316284,2.0999999046325684,2.1500000953674316,2.009999990463257,47000.0
2020-02-18,2020-02-18,2.0299999713897705,1.9800000190734863,2.069999933242798,1.9700000286102295,19300.0
2020-02-19,2020-02-19,2.0299999713897705,2.0399999618530273,2.450000047683716,2.009999990463257,148100.0
